Tweet,Etiket,cleaned_tweet
Olmayız bütün ülke yarın ateist olmaya karar verse yine olmayız https://t.co/qkpcT9YRbz,hiçbiri,olmayız bütün ülke yarın ateist olmaya karar verse yine olmayız
"Hayattan bıkanlar ya müslüman ya da ateist oluyor
gel de sen delirme mk",saldırgan,hayattan bıkanlar müslüman ateist oluyor gel sen delirme mk
Ne ateist'im ne de deist bunun aralari neden yok,hiçbiri,ateist im deist bunun aralari yok
"Ya sevdiğim ateist arkadaşlarım var onlar kırılmasın diye elim fava gitmedi, bugünün ateisti olup yarının mümini olma ihtimali de var o yüzden. ☝🏻☝🏻☝🏻 https://t.co/aHWLe4oUCM",hiçbiri,sevdiğim ateist arkadaşlarım var onlar kırılmasın elim fava gitmedi bugünün ateisti olup yarının mümini olma ihtimali var yüzden
İrem ben ateist oldum diyo Emre de diyo ki iyi hayırlısı olsun ortama bak yav bunu diyen de ateistti şimdi müslüman olmuş kız davasına öyle diyo,hiçbiri,i̇rem ben ateist oldum diyo emre diyo iyi hayırlısı olsun ortama bak yav bunu diyen ateistti şimdi müslüman olmuş kız davasına öyle diyo
deist ateist olur https://t.co/Zp54RGl5vy,hiçbiri,deist ateist olur
"Şehrimize yeni taşındığını  ve ateist olduğunu söyleyen müşterime:
""Tanrı yardımcın olsun."" dedim.
#Einbisschenspaßmusssein.",hiçbiri,şehrimize yeni taşındığını ateist olduğunu söyleyen müşterime tanrı yardımcın olsun dedim
"Anneme ateist birinden hoşlancam evlencem demişimdir 
Babam: edayı hemen imam hatipe aldırıp imam hatip yurduna koyalım 
Annem:kesinlikle",hiçbiri,anneme ateist birinden hoşlancam evlencem demişimdir babam edayı hemen imam hatipe aldırıp imam hatip yurduna koyalım annem kesinlikle
Adam beni Kürt ve şafi olduğum için takip etmiş bilginin yarısı yanlış çünkü ateist bir birey şafi olamaz #iyibilgi,hiçbiri,adam beni kürt şafi olduğum takip etmiş bilginin yarısı yanlış ateist bir birey şafi olamaz
Cansunun enerjiye inanan vizyonlu sosyalist ateist biri olduğunu düşünüyodum ilk takibe aldığımda şimdi ise entel olmaya çalışan bi varoş olduğunu düşünüyorum hay allah djdjdj,hiçbiri,cansunun enerjiye inanan vizyonlu sosyalist ateist olduğunu düşünüyodum ilk takibe aldığımda şimdi entel olmaya çalışan bi varoş olduğunu düşünüyorum hay allah djdjdj
Araba sürerken çekilmiş bir fotoyu post atmadığım için o kadar foton var  bir tane arabayla foton yok sana kimse araba sürmeyi öğretmedi mi? Diye dm gelmiş. Bu şahane mantık nerden geliyor yarabbim bu senin eserinse ben ateist oluyorum artık ahsksnsjdnd,hiçbiri,araba sürerken çekilmiş bir fotoyu post atmadığım kadar foton var bir tane arabayla foton yok sana kimse araba sürmeyi öğretmedi mi dm gelmiş şahane mantık nerden geliyor yarabbim senin eserinse ben ateist oluyorum artık ahsksnsjdnd
Aga ben cidden ateistlerin arkhe sorununu nasıl açıkladığını çok merak ediyorum. Taymımın pek aziz ateist neferleri burayı bir aydınlatın.,hiçbiri,aga ben cidden ateistlerin arkhe sorununu açıkladığını merak ediyorum taymımın pek aziz ateist neferleri burayı bir aydınlatın
Atatürk'ün gurur duyduğum yönlerinden biri de ateist olmasıdır. https://t.co/eJ611vuRZd,hiçbiri,atatürk ün gurur duyduğum yönlerinden ateist olmasıdır
"tekrarlanırken adamın ateist olduğunu öğrendim. Yani adamı yıllardır allahın selamını almıyor (farz olan bir vecibeyi yerine getirmiyor) diye günaha sokmuşum..
Elhamdülillah bugün de vicdan azabına doyduk, hayırlı geceler :)",hiçbiri,tekrarlanırken adamın ateist olduğunu öğrendim adamı yıllardır allahın selamını almıyor farz olan bir vecibeyi yerine getirmiyor günaha sokmuşum elhamdülillah bugün vicdan azabına doyduk hayırlı geceler
"fb-gs, türk-kürt, alevi-sünni, dinci-ateist, atatürkçü-şeriatçı, sağcı-solcu, akpli-chpli, offff... mesele başka dostlarım. mesele hep başkaydı... hep kandırıyorlar bizi...",hiçbiri,fb g türk kürt alevi sünni dinci ateist atatürkçü şeriatçı sağcı solcu akpli chpli offff mesele başka dostlarım mesele başkaydı kandırıyorlar bizi
Bu adam neden sürekli FG tişörtü giyiyo diye hep düşünüyorum mesela joon ateist ama o bile giymişti neden ve stafflar bile giyiyordu Yoongi napıyosun yoongi aşsösşdpfprmrğrpdf9 https://t.co/O7b71W6T8a,hiçbiri,adam sürekli fg tişörtü giyiyo düşünüyorum mesela joon ateist bile giymişti stafflar bile giyiyordu yoongi napıyosun yoongi aşsösşdpfprmrğrpdf9
Kankimin eski sevgilisi 9. sınıfta umreye gitmişti şimdi ateist olmuş. Ne oldum demeyin arkadaşlar,hiçbiri,kankimin eski sevgilisi 9 sınıfta umreye gitmişti şimdi ateist olmuş oldum demeyin arkadaşlar
"NEYMİŞ ? AHLAK ASLA HERHANGİ BİR DİNİN YADA DİNDARLARIN DA ASLA TEKELİNDE DEĞİLMİŞ İŞTE ? DİNDARLIKLA AHLAK ARASINDA İLİŞKİ KURMAK, YALAN VE TEHLİKELİDİR. 
Ateist gavur İzlanda’da kaçak elektrik kullanım oranı sıfır...
Peygamberler şehri Urfa da kaçak elektrik kullanım oranı  %75 https://t.co/o85rqxFlTn",hiçbiri,neymi̇ş ahlak asla herhangi̇ bi̇r di̇ni̇n yada di̇ndarlarin asla tekeli̇nde deği̇lmi̇ş i̇şte di̇ndarlikla ahlak arasinda i̇li̇şki̇ kurmak yalan tehli̇keli̇di̇r ateist gavur i̇zlanda kaçak elektrik kullanım oranı sıfır peygamberler şehri urfa kaçak elektrik kullanım oranı 75
"Tesadüfe bakın, bu gece yatmadan oğlum din dersleriyle ilgili bi soru sorunca Nisa suresi 34'ü okumak icap etti. Çocuk şokta! Aynen böyle devam edin, zorunlu din dersi falan derken hepsi çocukluktan ya ateist ya deist olacak https://t.co/0CoVg6XOEY",hiçbiri,tesadüfe bakın gece yatmadan oğlum din dersleriyle ilgili bi soru sorunca nisa suresi 34 ü okumak icap etti çocuk şokta aynen böyle devam edin zorunlu din dersi falan derken çocukluktan ateist deist olacak
"Burada sahibi deist bir profil var. Kendisiyle iki ortak takipçimiz var: biri ateist, diğeri başörtülü. Nasıl bir asgari müşterekse artık.",hiçbiri,burada sahibi deist bir profil var kendisiyle iki ortak takipçimiz var ateist diğeri başörtülü bir asgari müşterekse artık
Not :nuri  Hoca ateist https://t.co/tCAfZs0Jmi,hiçbiri,not nuri hoca ateist
"“sonunda -ist olan hiçbir şey olmana izin vermiyorum; ateist, deist, satanist olamazsın...ama egoist olabilirsin.” -aNAmMdan alıntılanmıştır",hiçbiri,sonunda ist olan hiçbir olmana izin vermiyorum ateist deist satanist olamazsın egoist olabilirsin anammdan alıntılanmıştır
"İslam'a saldırmak adına ateist ayaklarına yatan grup çoğunlukla Yahudi kökenlidir, 1500 yılında İspanya'dan sürülen yüzbinlerce Yahudiyi Osmanlı kabul etti ve o zamandan beri içimizdeler. #ÇukurS3",nefret,i̇slam a saldırmak adına ateist ayaklarına yatan grup çoğunlukla yahudi kökenlidir 1500 yılında i̇spanya dan sürülen yüzbinlerce yahudiyi osmanlı kabul etti zamandan beri içimizdeler
Benim anlamadığım.türkiyede kendilerine ateist diyenleri.neden aileleri islami esaslara göre defin ettiriyorlar,hiçbiri,benim anlamadığım türkiyede kendilerine ateist diyenleri aileleri islami esaslara göre defin ettiriyorlar
Ateist kemalist putperestler neden hristiyanlığa yahudiliğe saldırmazlarda sadece İSLAM’a saldırırlar.......?,nefret,ateist kemalist putperestler hristiyanlığa yahudiliğe saldırmazlarda sadece i̇slam a saldırırlar
“sagopa kajmer ateist mi” isimli videodaki bi yorum https://t.co/Zg2ZUX8I5D,hiçbiri,sagopa kajmer ateist mi isimli videodaki bi yorum
ateist degil şeytana inaniyor🙏🙏☺️☺️☺️ https://t.co/xRhISXXEMF,hiçbiri,ateist degil şeytana inaniyor
"Ateist gardaslarim sa Darwin, evrim askina falan salsin gelsin. Hadi bahaaalim.",hiçbiri,ateist gardaslarim sa darwin evrim askina falan salsin gelsin hadi bahaaalim
"Yine duygularım deli dolu yine hayallerim paramparça işte tam bu durumda şu sorularıma cevap verecek koca yürekli ülküdaşlar, Solcu-Sağcı-Dindar-ateist-Türkçü yoldaşlar arıyorum.....

Ülkemizde faaliyet gösteren tüm… https://t.co/L9h2yBPgnh",hiçbiri,yine duygularım deli dolu yine hayallerim paramparça işte tam durumda sorularıma cevap verecek koca yürekli ülküdaşlar solcu sağcı dindar ateist türkçü yoldaşlar arıyorum lkemizde faaliyet gösteren
ettiğim dua kabul olmazsa gururum incinir diyerek ateist olmak 10/10 bir hareket daha iyisini görmedim,hiçbiri,ettiğim dua kabul olmazsa gururum incinir diyerek ateist olmak 10 10 bir hareket iyisini görmedim
"7 yıldır türkiye'de yaşayan ateist, iç mimar bir suriyeli ile yapılmış bu röportaj. mutlaka okuyun.",hiçbiri,7 yıldır türkiye yaşayan ateist iç mimar bir suriyeli yapılmış röportaj mutlaka okuyun
Insanlar böyle böyle ateist oluyor https://t.co/o4eDuPtInS,hiçbiri,insanlar böyle böyle ateist oluyor
Şerefsizim bu orospuçoxukları yüzünden ateist olucam bukadar gerixrkalı bi defans olamaz ya,saldırgan,şerefsizim orospuçoxukları yüzünden ateist olucam bukadar gerixrkalı bi defans olamaz
değilim aq ateist falan değilim illa alnıma mı yazayım https://t.co/b8N932GGHd,saldırgan,değilim aq ateist falan değilim illa alnıma yazayım
"Ateist bir adamı getir şu ülke futbolunu görsün, hilelere ragmen bunca sermaye ve güce ragmen nasıl ilahi adaletin tecelli ettiğini görsün deist olur en kötü",hiçbiri,ateist bir adamı getir ülke futbolunu görsün hilelere ragmen bunca sermaye güce ragmen ilahi adaletin tecelli ettiğini görsün deist olur kötü
Kedime ilahi söylüyorum hemen kaçıyor ateist bir kedim var...,hiçbiri,kedime ilahi söylüyorum hemen kaçıyor ateist bir kedim var
"İster siyah olsun ister beyaz
İster gece olsun ister gündüz
İster müslüman olsun ister ateist
Hak yiyen beterinden bulsun",hiçbiri,i̇ster siyah olsun ister beyaz i̇ster gece olsun ister gündüz i̇ster müslüman olsun ister ateist hak yiyen beterinden bulsun
Bunu neden alkışlıyorsunuz arkadaşlar. Belediyelerin görevi günaha girmeyi engellemek değildir. Bu tip kurumlar herkese eşit mesafede durmak zorunda. Ateist biri çıkıp sevabınıza ortak olamam dese yine alkışlar mısınız? https://t.co/2ZaWWPWbWW,hiçbiri,bunu alkışlıyorsunuz arkadaşlar belediyelerin görevi günaha girmeyi engellemek değildir tip kurumlar herkese eşit mesafede durmak zorunda ateist çıkıp sevabınıza ortak olamam dese yine alkışlar mısınız
Senin Allah' ına kurban dediğimiz herkes ateist çıkıyor,hiçbiri,senin allah ına kurban dediğimiz herkes ateist çıkıyor
"Sınava girmeden bir sürü dua okuyorsunuz,üniversiteyi kazanınca ateist oluyorsunuz.❗️
Hayırdır ?❗️",hiçbiri,sınava girmeden bir sürü dua okuyorsunuz üniversiteyi kazanınca ateist oluyorsunuz hayırdır
Fenerbahçe ateist golü attı.,hiçbiri,fenerbahçe ateist golü attı
bi tiviti retweetledigim zaman o tivite hak verdigim anlamina gelmiyor. tivit beni güldürüyorsa rt atarim kardesim iki tivit rtledik diye ateist ettiniz beni be... benim adim Muhammed Yasin ben nasi ateist olayim be kardesim,hiçbiri,bi tiviti retweetledigim zaman tivite hak verdigim anlamina gelmiyor tivit beni güldürüyorsa rt atarim kardesim iki tivit rtledik ateist ettiniz beni be benim adim muhammed yasin ben nasi ateist olayim be kardesim
ATEİST  #CemilKılıçYalnızDeğildir,hiçbiri,atei̇st
"#CemilKılıcYalnızDeğildir kemalist, ateist, deistlerle beraberdir.",hiçbiri,kemalist ateist deistlerle beraberdir
"Belki biraz sürrealist, belki biraz, sosyalist, belki biraz ateist freud’un ruhun 3 temel haline değindiği konuda benliğim bu şekilde",hiçbiri,biraz sürrealist biraz sosyalist biraz ateist freud un ruhun 3 temel haline değindiği konuda benliğim şekilde
Bu Dhkpcli Kominist Solcu Ateist  Avukatlarda Kendilerine Hiçbirşey Yapmayacağımızı Falan Zannediyor ulAn Götünüzden Kan Alırız Kan Yeter Ki O Günler Gelsin...,nefret,dhkpcli kominist solcu ateist avukatlarda kendilerine hiçbirşey yapmayacağımızı falan zannediyor ulan götünüzden kan alırız kan yeter günler gelsin
Ya bu ateistler niye alakalı alakasız her yerde ateist olduklarını belirtme ihtiyacı hissediyor? -Abi çay? *Yok almıyım daha yeni ateistim. #TFFyeKayyumAtansın,hiçbiri,ateistler alakalı alakasız yerde ateist olduklarını belirtme ihtiyacı hissediyor abi çay yok almıyım yeni ateistim
"Tumblr dan yazanlar 
""Feyk misin ?""
""Pp alabilir miyim? Arkadaşım ateist meleğin olduna inandırmam lazım da""",hiçbiri,tumblr dan yazanlar feyk misin pp alabilir miyim arkadaşım ateist meleğin olduna inandırmam lazım
"Zulme Başkaldıran Bir Ateist, Zulme Sessiz Kalan Bir Alimden Değerlidir...",hiçbiri,zulme başkaldıran bir ateist zulme sessiz kalan bir alimden değerlidir
"İran'in yüzde sekmenin ateist veya deist olduğu hatta Zerdüştlüğün patlama gösterdiği söyleniyor. 
Konunun uzmanları bu konuda ne derler?",hiçbiri,i̇ran in yüzde sekmenin ateist deist olduğu hatta zerdüştlüğün patlama gösterdiği söyleniyor konunun uzmanları konuda derler
Atatürkçü din kültürü hocası konuşuluyor. Ateist olup din kültürü hocası olan var arkadaşlar. Ülkenin beyni komple yanmış kimse ne yaptığının farkında değil hala bir şeylere şaşıran kaldıysa onu çok üzerler bu hayatta söyleyeyim.,hiçbiri,atatürkçü din kültürü hocası konuşuluyor ateist olup din kültürü hocası olan var arkadaşlar lkenin beyni komple yanmış kimse yaptığının farkında değil hala bir şeylere şaşıran kaldıysa onu üzerler hayatta söyleyeyim
Aşure vakti gelip gecicek daha hiç yiyemedim some ateist problems,hiçbiri,aşure vakti gelip gecicek yiyemedim some ateist problem
"Formumdayım 😂
#instagram #ateist #din https://t.co/2ByQYAg1qi",hiçbiri,formumdayım
Ateist bi dostumuz var bizim çocuklar geçen bayram onu bayram namazına götürmüşler anlatacaklarım bu kadar,hiçbiri,ateist bi dostumuz var bizim çocuklar geçen bayram onu bayram namazına götürmüşler anlatacaklarım kadar
"Sema hanima kötü bi haberim var. Almanyada kapali kapali ögretmenler hristiyan, yahudi, ateist, budist cocuklarini filan egitiyor. 
Bak simdi aklima geldi benim cocuklarida muhtemel ateist ögretmenler egitiyor. Dur gidip itiraz edeyim https://t.co/dpvnYs3Ntn",hiçbiri,sema hanima kötü bi haberim var almanyada kapali kapali ögretmenler hristiyan yahudi ateist budist cocuklarini filan egitiyor bak simdi aklima geldi benim cocuklarida muhtemel ateist ögretmenler egitiyor dur gidip itiraz edeyim
"roportajlarda dinc kalma sirrini bekar, cocuksuz, ateist, sigarasiz alkolsuz ve vejetaryen olmasina baglayan steven wilson",hiçbiri,roportajlarda dinc kalma sirrini bekar cocuksuz ateist sigarasiz alkolsuz vejetaryen olmasina baglayan steven wilson
Öğretmenin ateist de olsa dindar da olsa deist de olsa sana verdiği eğitim bağlar seni sayın veli. Öfkelendim.,hiçbiri,öğretmenin ateist olsa dindar olsa deist olsa sana verdiği eğitim bağlar seni sayın veli öfkelendim
Sonra başak neden ateist olmuyorsun. Olmam olaaamaaaammmmm.💙 https://t.co/SdNCkr5O08,hiçbiri,sonra başak ateist olmuyorsun olmam olaaamaaaammmmm
"Dünya nasıl oluştu
Su nasıl oluştu 
Canlılar nasıl oluştu
Vb sorularin bilimsel aciklaması öğrencilerimi tatmin etmiyor.  
Bugun birisi sizin yüzünüzden ateist olacam dedi çok üzgünüm cidden ne diyecegimi bilemedim onlara göre dunya yaratildiği ilk gün bu haliyleydi.",hiçbiri,dünya oluştu su oluştu canlılar oluştu vb sorularin bilimsel aciklaması öğrencilerimi tatmin etmiyor bugun birisi sizin yüzünüzden ateist olacam dedi üzgünüm cidden diyecegimi bilemedim onlara göre dunya yaratildiği ilk gün haliyleydi
"ahmet hocanın açık ve net bir biçimde ateist olduğunu söyleme cesaretini göstermesi harika. hiç lafı eğip bükmüyor, din bir efsanedir, din olmadan da ahlak mümkündür deyiveriyor. aforizmacılar kotaramaz bunu işte.",hiçbiri,ahmet hocanın açık net bir biçimde ateist olduğunu söyleme cesaretini göstermesi harika lafı eğip bükmüyor din bir efsanedir din olmadan ahlak mümkündür deyiveriyor aforizmacılar kotaramaz bunu işte
"Dürüst, karakterli, bilgili, eğitmli ve Atatürkçü olduğu için Cemil Kılıç’ı ihraç edeceklermiş. Dini kendileri gibi çıkarlarına alet etmeyen herkese düşman bir güruh ile mücadele ediyoruz. Ateist, müslüman, hristiyan ne olursanız olun haklı olanın yanında olun!",hiçbiri,dürüst karakterli bilgili eğitmli atatürkçü olduğu cemil kılıç ı ihraç edeceklermiş dini kendileri çıkarlarına alet etmeyen herkese düşman bir güruh mücadele ediyoruz ateist müslüman hristiyan olursanız olun haklı olanın yanında olun
Bu kadar şafi'nin içinde yaptıklarıma bakılırsa ateist yuvası twitter'da çok mülayim takılıyorum :/ https://t.co/ysriCuKSQy,hiçbiri,kadar şafi nin içinde yaptıklarıma bakılırsa ateist yuvası twitter mülayim takılıyorum
"Bu memelekette yillardir ateist-deist  ilahiyat profesörleri ders veriyor!.
Atatürkçü Din kültürü öğretmeni olmasına neden şaşırıyor yada kiziyorsunuz anlamadim?!",hiçbiri,memelekette yillardir ateist deist ilahiyat profesörleri ders veriyor atatürkçü din kültürü öğretmeni olmasına şaşırıyor yada kiziyorsunuz anlamadim
"Inanci gereği tesettüre girmis ama sizin inancinizdan olmadığı için inanç sayılmıyor.devletin her inanca eşit mesafede olmasi gerekir diyorsaniz müslüman tesettürlü birinin de ateist ya da hristiyan birinin olduğu gibi devlette memur olmasına tepki vermemeniz gerekir
@semavural01 https://t.co/iYIila2PzB",hiçbiri,inanci gereği tesettüre girmis sizin inancinizdan olmadığı inanç sayılmıyor devletin inanca eşit mesafede olmasi gerekir diyorsaniz müslüman tesettürlü birinin ateist hristiyan birinin olduğu devlette memur olmasına tepki vermemeniz gerekir
"Aziz Nesin'e ait “Çocuklarıma"" şiirini okuduktan sonra Aziz Nesin'i tanıyıp tanımadıklarını sordum. 
Arkadan bir öğrenci ""Ateist olan mı hocam?"" dedi.
İnsanların inancıyla ilgilenmediğimi, hayata kattıklarıyla, kitaplarıyla, sanatıyla ilgilendiğimi söyleyerek derse devam ettim.",hiçbiri,aziz nesin e ait çocuklarıma şiirini okuduktan sonra aziz nesin i tanıyıp tanımadıklarını sordum arkadan bir öğrenci ateist olan hocam dedi i̇nsanların inancıyla ilgilenmediğimi hayata kattıklarıyla kitaplarıyla sanatıyla ilgilendiğimi söyleyerek derse devam ettim
"Bu ateist saçmalığına verilen bir destek:

“Senin yaşam şekline saldıran birileri varken, onları kontrol altına almak gerekmez mi?”

Biz de soralım:

Bu soruyu dindar biri neden soramıyor?

Sorduğunda neden ortalık karışıyor?

Kimler kimleri neye göre kontrol altına alabilir? https://t.co/DGzw5phu57",nefret,ateist saçmalığına verilen bir destek senin yaşam şekline saldıran birileri varken onları kontrol altına almak gerekmez mi soralım soruyu dindar soramıyor sorduğunda ortalık karışıyor kimler kimleri neye göre kontrol altına alabilir
Açlıktan ölen çocuklar sence ateist mi,hiçbiri,açlıktan ölen çocuklar sence ateist mi
ne alaka amk ismi muhammed ( d ile ) olup ateist olan tanıyorum https://t.co/9RnEqchnH9,saldırgan,alaka amk ismi muhammed d olup ateist olan tanıyorum
"Eger insansanız, eger Allah'ınız var veya ateist filan iseniz farketmez, bu insanların da yanında olur destek gösterirsiniz. https://t.co/KvD2fEN3OU",hiçbiri,eger insansanız eger allah ınız var ateist filan iseniz farketmez insanların yanında olur destek gösterirsiniz
din kültürü sadece müslümanlığı öğretmez ki Atatürk ve islam arasında ki köprüyü bu kadar uzatan da sizin sığ düşüncelerinizdir ister ateist ister hristiyan ister atatürkçü  her türlü düşünce ve inanca sahip insanlar öğretmen olabilir biri gelip aaa şuna bak dinci bi insan burda https://t.co/wcCCJ377A3,hiçbiri,din kültürü sadece müslümanlığı öğretmez atatürk islam arasında köprüyü kadar uzatan sizin sığ düşüncelerinizdir ister ateist ister hristiyan ister atatürkçü türlü düşünce inanca sahip insanlar öğretmen olabilir gelip aaa şuna bak dinci bi insan burda
"Öğrencilerine Gençliğe Hitabe ve Andımız hk.da sınav yapan Din öğretmeni Atatürkçü Cemil Kılıç'ın sözleri:
""Daha ilk sınıfta 40 öğrenciden 5’i Ateist olduğunu,2 öğrenci de Deist olduğunu söyledi.Din dersini zorunlu kılanlara duyurulur.Zorla güzellik olmuyor!”",hiçbiri,öğrencilerine gençliğe hitabe andımız hk sınav yapan din öğretmeni atatürkçü cemil kılıç ın sözleri ilk sınıfta 40 öğrenciden 5 i ateist olduğunu 2 öğrenci deist olduğunu söyledi din dersini zorunlu kılanlara duyurulur zorla güzellik olmuyor
Ateist kuzenim dedesinin cenaze namazını kıldı babası da orda olduğu için lolllll,hiçbiri,ateist kuzenim dedesinin cenaze namazını kıldı babası orda olduğu lolllll
"*Dindar arkadaşımı görürüm*

Ben: Merhaba.

       *Ateist arkadaşımı görürüm*

Ben: Selamun Aleyküm.

Aynen devam böyle 😎",hiçbiri,dindar arkadaşımı görürüm ben merhaba ateist arkadaşımı görürüm ben selamun aleyküm aynen devam böyle
"Ateist değilim. Ama tanrı'ya boyun eğecek de değilim. Diklenirim,isyan da ederim. Size ne lan!",hiçbiri,ateist değilim tanrı boyun eğecek değilim diklenirim isyan ederim size lan
"kendi gerçekliğinde kavramamış olanlar yok mudur?Niye bir kişi ateist olarak sadece kendisi alınsın ki,dinin “kavranılmamış” olmasından?!  Gerçek yarım ve sınırlandırılmış bakışlarla anlaşılmaz.Bütüncül ve özgür,sorgulayıp muhakeme ederek bağlantı kuran akıl marifetiyle mümkün o.",hiçbiri,kendi gerçekliğinde kavramamış olanlar yok mudur bir kişi ateist olarak sadece kendisi alınsın dinin kavranılmamış olmasından gerçek yarım sınırlandırılmış bakışlarla anlaşılmaz bütüncül özgür sorgulayıp muhakeme ederek bağlantı kuran akıl marifetiyle mümkün
Ayrıca ateist.Babası onu fazla yumuşak bulduğu için travmatik bir çocukluk geçirdi.Döneminde Avusturya iyi dayak yemiştir Prusya'dan,hiçbiri,ayrıca ateist babası onu fazla yumuşak bulduğu travmatik bir çocukluk geçirdi döneminde avusturya iyi dayak yemiştir prusya dan
Tweet,Etiket,tweet
"Almanya Alevi Birlikleri Federasyonu AABF ''Yol Bir Sürek Binbir / Barış Senfonisi'' etkinliğiyle 30'uncu yılını selamlıyor.
Halkların, dillerin, inançların, kültürlerin harmanlandığı; Avrupanın her köşesinden… https://t.co/xVncp4yU1t",hiçbiri,almanya alevi birlikleri federasyonu aabf yol bir sürek binbir barış senfonisi etkinliğiyle 30 uncu yılını selamlıyor halkların dillerin inançların kültürlerin harmanlandığı avrupanın köşesinden
Düşüncesi güzel yolu güzel çok şanslıyız çok alevi olmak çok büyük bir ayrıcalık https://t.co/xaKzkEHu2z,hiçbiri,düşüncesi güzel yolu güzel şanslıyız alevi olmak büyük bir ayrıcalık
"Alevi değilim..
Ama insanları alevi,sünni, kürt,türk,laz,çerkez diye ayırt etmem..

İnsan insansa..
Allahtan korkuyorsa.. 
Merhameti varsa vatan haini değilse bana yeter..

İyi veya kötü..
Herkes hesabını Allah'a verir..🌹",hiçbiri,alevi değilim insanları alevi sünni kürt türk laz çerkez ayırt etmem i̇nsan insansa allahtan korkuyorsa merhameti varsa vatan haini değilse bana yeter i̇yi kötü herkes hesabını allah a verir
"Siz sanatçısınız,bir eser yapıp ortaya koyarsınız,bu eseri her görüşten insan sevebilir dinleyebilir...müzik evrenseldir.eğer siz benim yaptığım şarkıyı Kürt’ler,Alevi’ler,Ermeni’ler dinlemesin derseniz nasıl müzik adamı olacaksınız!",hiçbiri,sanatçısınız bir eser yapıp ortaya koyarsınız eseri görüşten insan sevebilir dinleyebilir müzik evrenseldir benim yaptığım şarkıyı kürt ler alevi ler ermeni ler dinlemesin derseniz müzik adamı olacaksınız
"Anayasa nezdinde ve vatandaşlık bağlamında düşünce özgürlüğü suç olmadığı gibi, solcu ve alevi kökeni tehdit gören anlayışa atıfta bulunularak, eğitim ve yaşam hakkının ilgası suçtur....

#BaranBarışKorkmazaÖzgürlük https://t.co/rBLrhsTerW",hiçbiri,anayasa nezdinde vatandaşlık bağlamında düşünce özgürlüğü suç olmadığı solcu alevi kökeni tehdit gören anlayışa atıfta bulunularak eğitim yaşam hakkının ilgası suçtur
yokluğun yangının alevi,hiçbiri,yokluğun yangının alevi
Çok güzel bir tatildi alevi izlemek harikaydı 🔥😘  @alevtaylan55 https://t.co/hxDGwZJFBW,hiçbiri,güzel bir tatildi alevi izlemek harikaydı
"Kimseye kin besleyemiyorum. Ne kötülük gelirse gelsin, kinim ve öfkem bir anlık oluyor. Saman alevi gibi. Affedebilmekte bir lütuf. Kırılan taraflarımı tek başıma onarmaya o kadar alışmışım ki kıran kişiyi umursamıyorum artık. Hallederim ben diyorum. Kimseden medet ummuyorum.",hiçbiri,kimseye kin besleyemiyorum kötülük gelirse gelsin kinim öfkem bir anlık oluyor saman alevi affedebilmekte bir lütuf kırılan taraflarımı tek başıma onarmaya kadar alışmışım kıran kişiyi umursamıyorum artık hallederim ben diyorum kimseden medet ummuyorum
saclarim en son mordu akti simdi sacina kina yakmis alevi saci gibi oldu:((((,hiçbiri,saclarim son mordu akti simdi sacina kina yakmis alevi saci oldu
AABF Türk Halk Müziği Sanatçısı Arif Sağa 28 Eylülde  (AABF) Almanya Alevi Birliği Fedarasyonu Adına Barış Ödülü Verilecek Açıklaması Yapmış Buraya Kadar Her şey Normal.Peki Barış ödülü Verilecek Sanatçı Arif Sağ... https://t.co/gFgoNH0jaS,hiçbiri,aabf türk halk müziği sanatçısı arif sağa 28 eylülde aabf almanya alevi birliği fedarasyonu adına barış ödülü verilecek açıklaması yapmış buraya kadar normal peki barış ödülü verilecek sanatçı arif sağ
#pazar 10 sene sonra politikacıların halka hitabları arasında bizde Kürt laz Alevi Arap ayrımı yoktur hepimiz kardeşiz olacak,hiçbiri,10 sene sonra politikacıların halka hitabları arasında bizde kürt laz alevi arap ayrımı yoktur hepimiz kardeşiz olacak
Alevi kızları üzmeyin https://t.co/1DFM2hkwei,hiçbiri,alevi kızları üzmeyin
Çocuğun anne tarafı Alevi baba tarafı Sünni sanırım 😂 https://t.co/Yu1Q5VmZ0q,hiçbiri,çocuğun anne tarafı alevi baba tarafı sünni sanırım
"buralar şimdi yangın yeri
yokluğun yangının alevi",hiçbiri,buralar şimdi yangın yeri yokluğun yangının alevi
"Yeryüzünde dinler olmasaydi insanlığın kaybedeceği tek bir sey söyleyebilir misiniz ?  İnsanları müslüman, hristiyan, musevi diye ayirip bir diğerinden nefret ettiren ve hatta alevi sünni diye fişleyen din, tarihi kanla yazılmış din.",nefret,yeryüzünde dinler olmasaydi insanlığın kaybedeceği tek bir sey söyleyebilir misiniz i̇nsanları müslüman hristiyan musevi ayirip bir diğerinden nefret ettiren hatta alevi sünni fişleyen din tarihi kanla yazılmış din
sinirimin saman alevi olması beni çok yıprattı ben istiyorum ki kalbimi kıranları 9 sene affetmeyeyim ama 9 dakika sonra geçiyo,hiçbiri,sinirimin saman alevi olması beni yıprattı ben istiyorum kalbimi kıranları 9 sene affetmeyeyim 9 dakika sonra geçiyo
